threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.25,32848,97121,20913,1487518,0.25273719117635746,0.6110005394244898,0.35756817068524466,0.21770655214008297,0.927957763671875
0.26,32396,91968,21365,1492671,0.2604933903702036,0.6025929577202805,0.36374456140350875,0.22230304194772488,0.9308270263671875
0.27,32033,88384,21728,1496255,0.26601725669963544,0.5958408511746434,0.36781912755916363,0.22535439164233706,0.93279296875
0.28,31679,85327,22082,1499312,0.2707467993094371,0.5892561522293112,0.37102016197508886,0.2277622799953986,0.9344427490234375
0.29,31353,82735,22408,1501904,0.2748141785288549,0.5831922769293726,0.3735857824592342,0.2296990387996718,0.9358258056640625
0.3,31068,80228,22693,1504411,0.2791474985623922,0.5778910362530459,0.37645177120631057,0.23186978035510378,0.9371820068359376
0.31,30818,78078,22943,1506561,0.28300396708786363,0.5732408251334611,0.37893235458664554,0.23375480699944629,0.9383416748046876
0.32,30568,76108,23193,1508531,0.28654992688139785,0.5685906140138762,0.3810592319726746,0.23537564776813558,0.9393914794921875
0.33,30345,74302,23416,1510337,0.28997486788918936,0.5644426256952065,0.38312458966718854,0.23695368685724993,0.940357666015625
0.34,30124,72705,23637,1511934,0.2929523772476636,0.5603318390654936,0.3847499840347404,0.23819840905856118,0.941197509765625
0.35,29923,71175,23838,1513464,0.29598013808383944,0.5565930693253474,0.3864547749888608,0.23950662739322534,0.9420086669921875
0.36,29745,69702,24016,1514937,0.2991040453709011,0.553282119008203,0.38829565035768365,0.24092238160420532,0.942799072265625
0.37,29560,68343,24201,1516296,0.3019315036311451,0.5498409627797102,0.3898090515877202,0.24208871126253032,0.943515625
0.38,29371,67049,24390,1517590,0.3046152250570421,0.546325403173304,0.3911413560969763,0.24311729161493253,0.9441900634765625
0.39,29199,65835,24562,1518804,0.3072479323189595,0.5431260579230297,0.3924728653516583,0.24414696143683734,0.9448260498046875
0.4,29036,64618,24725,1520021,0.3100348089777265,0.5400941202730604,0.39393548824746466,0.24527999053886246,0.9454693603515625
0.41,28864,63460,24897,1521179,0.31263810060222696,0.536894775022786,0.39516719717972415,0.2462357427423414,0.9460711669921875
0.42,28738,62372,25023,1522267,0.31542091976731423,0.5345510686185153,0.39673916794941705,0.24745765630785393,0.9466583251953125
0.43,28578,61256,25183,1523383,0.31812008816261106,0.531574933501981,0.39803614331975345,0.2484676178304077,0.9472418212890625
0.44,28416,60161,25345,1524478,0.3208056267428339,0.52856159669649,0.39927496522362266,0.2494338231421499,0.947811279296875
0.45,28281,59170,25480,1525469,0.32339252838732546,0.5260504826919142,0.4005466957482367,0.2504272520388556,0.948333740234375
0.46,28120,58124,25641,1526515,0.32605166736236724,0.5230557467309016,0.40169993928788256,0.25132949010144345,0.9488739013671875
0.47,27983,57172,25778,1527467,0.32861253009218483,0.5205074310373691,0.40287655849578163,0.25225135892836215,0.949371337890625
